id,section,type,severity,title,status,affected_area,evidence,impact,recommended_action,public_behavior_change,artifact_updates,source_files,validation,next_step
20260625-124339-S1-D1,1,D,medium,Version Inconsistency,completed,pyproject.toml,version is 1.0.1 but user wants version bump,we cannot publish 1.0.0 or duplicate 1.0.1,bump version in pyproject.toml and CHANGELOG to 1.0.2,yes,pyproject.toml CHANGELOG.md,pyproject.toml,build package,bump version in Section 7
20260625-124339-S1-D2,1,D,medium,Missing Documentation for Move and Export/Import,completed,docs,README.md and help strings do not document new arguments,users will not know about move/export commands,add documentation and help text,yes,README.md ocman.py,README.md ocman.py,manual help verification,implement updates in Section 7
20260625-124339-S1-REL1,1,CI,low,Missing CI configuration,completed,ci,no .github/workflows directory,no automated tests on push,add github actions workflow for pytest,no,.github/workflows/ci.yml,none,CI verification,add workflow in Section 7
20260625-124339-S1-REL2,1,R,medium,Local Module Resolution Issue,completed,tests,ImportError if PYTHONPATH is not set,tests or TUI might import package version instead of workspace version,document PYTHONPATH or configure pyproject dev install,no,README.md,tests/test_*.py,pytest runs without PYTHONPATH,update documentation and verification plan
20260625-124339-S1-DEP1,1,DEP,low,Untracked Config Files,completed,package,opencode.json/jsonc in root,might get packaged by build system,ensure Hatchling ignores them,no,pyproject.toml,pyproject.toml,inspect built wheel,verify hatch build targets
20260625-124339-S2-S1,2,S,high,SQL Injection in Import,completed,database,F-string formatting at line 5571-5573 using JSON keys,arbitrary SQL execution via malicious .ocbox,whitelist table names and validate column names,no,final-bug-security-audit.md,ocman.py,import tests,fix in Section 7
20260625-124339-S2-S2,2,S,high,Path Traversal in Import,completed,file-system,Using unsanitized session IDs from meta.json directly in file paths,arbitrary file write via path traversal,validate session IDs against strict regex,no,final-bug-security-audit.md,ocman.py,import tests,fix in Section 7
20260625-124339-S3-T1,3,T,medium,Missing Security Edge-Case Tests for Session Import,completed,tests,No tests in tests/test_export_import.py check for SQL injection/path traversal payloads in bundle,security vulnerabilities could be introduced or regressed,add tests checking rejection of invalid payloads and session IDs,no,none,tests/test_export_import.py,pytest,implement in Section 7
20260625-124339-S3-T2,3,T,medium,Missing CLI Metadata-Only Move Test,completed,tests,No tests verify --metadata-only project/session moves or interactive prompt handling,untested command-line branches could contain bugs,add test covering metadata-only and mock input,no,none,tests/test_move.py,pytest,implement in Section 7
20260625-124339-S4-D1,4,D,low,Outdated CHANGELOG.md,completed,docs,CHANGELOG.md does not contain section for version 1.0.2,release packages will lack release notes,add 1.0.2 section,no,CHANGELOG.md,CHANGELOG.md,none,update CHANGELOG.md in Section 7
