id,section,type,severity,title,status,affected_area,evidence,impact,recommended_action,public_behavior_change,artifact_updates,source_files,validation,next_step
20260617-173940-S1-T1,1,T,medium,Lack of automated tests,identified,test suite,No test files in workspace,Regressions in core database or recovery logic could go unnoticed during updates,Create basic test suite with pytest under a new tests/ directory,none,tests/ directory,None,pytest,Create tests
20260617-173940-S1-CI1,1,CI,low,Lack of CI/CD workflows,identified,CI/CD,No .github/workflows directory in workspace,PRs and commits are not automatically tested or linted,Create a basic GitHub Actions workflow to run pytest,none,.github/workflows/ci.yml,None,Git push verification,Create workflow file
20260617-173940-S1-DEP1,1,DEP,low,Deprecated --use-model CLI parameter,identified,CLI,ocman.py line 3687 uses suppressed --use-model,Code contains obsolete CLI options,Keep for backward compatibility but plan for future removal,none,None,ocman.py,None,Monitor usage
20260617-173940-S1-DEP2,1,DEP,low,Obsolete rebuild_opencode.sh script,identified,scripts,rebuild_opencode.sh performs dump-and-rebuild,Redundant script that doesn't solve actual DB bloat and might confuse users,Document as deprecated or remove it,none,None,rebuild_opencode.sh,None,Mark deprecated in README
20260617-173940-S2-E1,2,E,medium,SQLite transaction rollback and connection leaks,identified,database,ocman.py lines 3926 and 4122 lack rollback on exception and finally close conn,Database locks or leaks open connections on query failures,Wrap operations in context manager or try/except/finally blocks to ensure rollback and connection closure,none,None,ocman.py,pytest,Implement exception handling
20260617-173940-S2-E2,2,E,low,Textual background thread polling intervals never stopped,identified,TUI,orsession/app.py lines 132 908 and 1791 call set_interval without stopping the timer,Polling continues indefinitely after thread completes wasting events,Stop the textual Timer object when thread is done or fails,none,None,orsession/app.py,manual run,Stop timers upon completion
20260617-173940-S2-S1,2,S,low,Path traversal risk during session deletion,identified,database,ocman.py lines 4009 and 4315 build file path directly from session ID,Could delete files outside target directory if database session ID contains path traversal patterns,Sanitize session ID or verify that resolved file path is inside storage directory,none,None,ocman.py,pytest,Verify directory boundaries
20260617-173940-S2-E3,2,E,low,No command timeout on export in ocman.py,identified,CLI,ocman.py line 1464 run_command lacks timeout,CLI tool may hang indefinitely if opencode export hangs,Add a timeout parameter to the export execution inside ocman.py,none,None,ocman.py,pytest,Add timeout
20260617-173940-S4-D1,4,D,low,Missing CLI arguments in README.md,identified,docs,README.md All Arguments table is missing days clean-orphans db delete dry-run force and compact,Users might not discover database cleaning or session deletion arguments,Update the README.md table and usage examples,none,README.md,README.md,manual review,Edit README.md
20260617-173940-S5-U1,5,U,low,Editable installation mode does not track ocman.py module,identified,packaging,pyproject.toml editable install only lists orsession package,Developer edits to ocman.py are not reflected in installed ocman script until reinstalled,Document build/reinstall instructions or verify module inclusion strategy in pyproject.toml,none,pyproject.toml,pyproject.toml,manual review,Document limitations
