id,section,type,severity,remediation_risk,title,status,affected_area,evidence,impact,recommended_action,public_behavior_change,artifact_updates,source_files,validation,next_step
20260721-180742-S1-DR01,1,DR,Medium,Low,Version string 1.3.0rc4 while CHANGELOG heading is released [1.3.0],identified,packaging/versioning,"pyproject.toml:7 and cli.py:208 = 1.3.0rc4; CHANGELOG has released [1.3.0] - 2026-07-20 + empty [Unreleased]",Promotion to final 1.3.0 requires dropping rc4 suffix; shipping rc4 as final would be a version mismatch,Bump version 1.3.0rc4 -> 1.3.0 in pyproject.toml + cli.py (Section 7),no,"pyproject.toml, cli.py, CHANGELOG",pending,Bump in Section 7 at release
20260721-180742-S1-DR02,1,DR,Low,Low,CITATION.cff software version stale at 1.1.0,identified,packaging/citation,"CITATION.cff:16 version: \"1.1.0\"; last touched at 1.1.0-era commit 0f42f7c; repo is at 1.3.0 line",Citation metadata misrepresents current release version to anyone citing the software,Sync CITATION.cff version to the release version at bump time,no,CITATION.cff,pending,Bump with version in Section 7
20260721-180742-S1-DR03,1,DR,Low,Low,AGENTS.md references non-existent RELEASING.md and CONTRIBUTING.md,identified,docs,"AGENTS.md:28 says 'see RELEASING.md' and 'See CONTRIBUTING.md'; neither file exists in repo root or elsewhere",Contributor/novice following AGENTS.md hits dead references; erodes trust in docs,"Either create the referenced docs or reword AGENTS.md to point at existing homes (README/DECISIONS/plans README)",no,AGENTS.md,pending,Decide in Section 4/7
20260721-180742-S2-S01,2,S,Low,Low,gitleaks full-history reports 3 non-baselined hits (synthetic AWS fixtures echoed into prior run artifacts),identified,security/ci-hygiene,"local 'gitleaks detect' full history reports 3 aws-access-token hits, all in workflow-artifacts/release-review/20260720-125929/ (03-findings-register.csv, 12-final-response.md, section-summaries/02-...md); same synthetic AKIA fixture strings already baselined for tests/test_ocman.py; NOT live secrets (nothing to rotate); secret-scan.yml CI currently green",False positive but unbaselined: a full-history local scan or a future full-history CI run reports 3 leaks; noise erodes the scanner's signal,Add the 3 fingerprints to .gitleaksignore with a comment noting they are prior-run-artifact copies of the synthetic test fixtures,no,.gitleaksignore,identified,Baseline in Section 7 (Low RR)
20260721-180742-S2-LIVE01,2,LIVE,High,Low,reconnect/kill process-signalling surface traced; hardening confirmed adequate (no defect),not_applicable,live-interaction/process-signalling,"Read _reuse_guard_ok/_kill_pid_gracefully/_pid_is_gone/cli_reconnect/cli_kill: own-user check via /proc/<pid> st_uid + _pid_looks_like_opencode re-validated immediately before EACH signal; zombie-aware gone check; require_opencode() up front in reconnect; survivor -> STOP no-exec; one confirmation; dry-run/no = zero side effects; narrow TOCTOU window acknowledged in docstrings",No defect: the highest-risk LIVE surface in the 1.3.0 cycle (signalling the wrong process) is guarded correctly. Recorded as traced-and-clear per mandatory LIVE review,None (surface traced, no defect found),no,cli.py,not_applicable,None; documented as clear
20260721-180742-S2-S02,2,S,High,Low,doctor/list-running server-auth check traced; no password leakage (no defect),not_applicable,security/auth-probe,"Read _server_password_env_state/_probe_app_auth/_bind_is_loopback: reads OPENCODE_SERVER_PASSWORD STATE only (never value/log); owner-only /proc reads; probe only own loopback listeners never user-supplied/non-loopback; read-only GET /app; fails to 'unknown' never a false all-clear",No defect: security-sensitive new code handles auth state without leaking secrets and fails safe,None,no,cli.py,not_applicable,None; documented as clear
20260721-180742-S2-B01,2,B,Low,Low,db_rename_session correctness traced; bound params + txn rollback + finally-close (no defect),not_applicable,correctness/db,"Read db_rename_session: BEGIN/commit/rollback, new_title as bound param (no injection), not-found -> rollback+RecoveryError, connection closed in finally on all paths",No defect: atomic, injection-safe, no resource leak,None,no,cli.py,not_applicable,None; documented as clear
20260721-180742-S3-T01,3,T,Low,Low,New 1.3.0 features have comprehensive regression coverage (no gap),not_applicable,tests,"reconnect (reuse-guard/zombie/other-user/partial-kill/missing-opencode/dry-run/no/zero-match/nothing-to-resume), kill (reap-real-child/reuse-guard/ignores-SIGTERM/force-SIGKILL/survivor-nonzero/e2e/dry-run/zero-match/pattern-own-user), rename (id/substring/to-preserve/empty-reject/dry-run/running-guard), doctor server check (vulnerable-ERROR/exposed-WARN/authed-OK/none-OK/detection-error-UNKNOWN/all-users+probe/wired), filters (lp/ls/lr/empty-json/alias), _git_decisions_for_state branches, storage worker mount guard, prune worker error path; 473 passed 2 skipped",Every S2 High/LIVE surface has a matching regression test; no release-blocking test gap,None,no,tests,not_applicable,None; coverage adequate
20260721-180742-S4-A01,4,A,Low,Low,ARCHITECTURE.md top-level-verbs enumeration omits reconnect/kill/rename (and lr),identified,docs,"ARCHITECTURE.md:20-22 explicitly enumerates top-level verbs (search info disk logs spend running doctor reclaim models compaction-prompt filter move export ui help) but omits the 1.3.0 additions reconnect, kill, rename",A cold-start engineer reading ARCHITECTURE gets an incomplete command map; low harm (README is authoritative reference) but the enumeration is now stale,Add reconnect/kill/rename to the enumerated list in Section 7,no,ARCHITECTURE.md,identified,Fix in Section 7 (Low RR)
20260721-180742-S4-KD01,4,KD,Low,Low,DECISIONS.md has no entry for the reconnect/kill process-signalling safety model,identified,docs/knowledge,"DECISIONS.md records significant cross-cutting decisions (linking IPDs); the reconnect+kill safety model (own-user-only via /proc st_uid, PID-reuse guard, zombie-aware, foreground-exec-inherits-env, no bare relaunch, Linux-only, SIGTERM-then-optional-SIGKILL) is a significant safety decision with rejected alternatives, but has no DECISIONS.md entry (only per-feature executed IPDs)",A no-context engineer learns the signalling safety rationale only by reading two IPDs; DECISIONS.md is the intended home for cross-cutting safety decisions,Append one dated DECISIONS.md entry summarizing the signalling safety model + linking the reconnect/kill IPDs,no,DECISIONS.md,identified,Author in Section 7 (Low RR; conversation-recovered intent verifiable against code)
